04.11.2020,12’921.4200
03.11.2020,12’773.1900
02.11.2020,12’472.7800
01.11.2020,12’619.3900
31.10.2020,12’675.4800
30.10.2020,12’458.4500
29.10.2020,12’319.3000
28.10.2020,12’093.7700
27.10.2020,12’433.1400
26.10.2020,11’880.7300
25.10.2020,11’797.0900
24.10.2020,11’861.7300
23.10.2020,11’698.1200
22.10.2020,11’785.7400
21.10.2020,11’612.5800
20.10.2020,10’811.8800
19.10.2020,10’700.1700
18.10.2020,10’535.3100
17.10.2020,10’405.1600
16.10.2020,10’363.4900
15.10.2020,10’515.2700
14.10.2020,10’449.3300
13.10.2020,10’461.1200
12.10.2020,10’490.4300
11.10.2020,10’359.0000
10.10.2020,10’270.9000
09.10.2020,10’074.3600
08.10.2020,10’010.8900
07.10.2020,9’789.8900
06.10.2020,9’738.7700
05.10.2020,9’877.2100
04.10.2020,9’799.0200
03.10.2020,9’729.4600
02.10.2020,9’731.7300
01.10.2020,9’763.4200
30.09.2020,9’924.8700
29.09.2020,9’970.0400
28.09.2020,9’897.4500
27.09.2020,10’006.5200
26.09.2020,9’977.2000
25.09.2020,9’934.3000
24.09.2020,9’952.0000
23.09.2020,9’465.6700
22.09.2020,9’696.7000
21.09.2020,9’558.1300
20.09.2020,9’953.5400
19.09.2020,10’108.2400
18.09.2020,9’967.9500
17.09.2020,9’942.9200
16.09.2020,9’980.4200
15.09.2020,9’802.6300
14.09.2020,9’705.4800
13.09.2020,9’393.4300
12.09.2020,9’503.1100
11.09.2020,9’461.3300
10.09.2020,9’430.4900
09.09.2020,9’398.7500
08.09.2020,9’305.3700
07.09.2020,9’509.2900
06.09.2020,9’385.6300
05.09.2020,9’278.1500
04.09.2020,9’579.3500
03.09.2020,9’302.3700
02.09.2020,10’393.4500
01.09.2020,10’841.6700
31.08.2020,10’548.6900
30.08.2020,10’589.0200
29.08.2020,10’404.0900
28.08.2020,10’434.5200
27.08.2020,10’286.9300
26.08.2020,10’420.6100
25.08.2020,10’317.3200
24.08.2020,10’740.1000
23.08.2020,10’635.0000
22.08.2020,10’656.3200
21.08.2020,10’502.1200
20.08.2020,10’779.4500
19.08.2020,10’742.7400
18.08.2020,10’810.9400
17.08.2020,11’142.0700
16.08.2020,10’831.1800
15.08.2020,10’796.7700
14.08.2020,10’701.0600
13.08.2020,10’722.7100
12.08.2020,10’562.2900
11.08.2020,10’447.3300
10.08.2020,10’878.3600
09.08.2020,10’669.8500
08.08.2020,10’731.5100
07.08.2020,10’592.6300
06.08.2020,10’714.8700
05.08.2020,10’664.2300
04.08.2020,10’230.2300
03.08.2020,10’321.4900
02.08.2020,10’115.2200
01.08.2020,10’800.0500
31.07.2020,10’360.1500
30.07.2020,10’108.7100
29.07.2020,10’125.7800
28.07.2020,10’032.2400
27.07.2020,10’111.1900
26.07.2020,9’155.3300
25.07.2020,8’940.1700
24.07.2020,8’799.5600
23.07.2020,8’893.8900
22.07.2020,8’864.3600
21.07.2020,8’767.4700
20.07.2020,8’613.9500
19.07.2020,8’650.3700
18.07.2020,8’624.7500
17.07.2020,8’603.6900
16.07.2020,8’639.3900
15.07.2020,8’689.7300
14.07.2020,8’703.0400
13.07.2020,8’711.1100
12.07.2020,8’751.5000
11.07.2020,8’704.0900
10.07.2020,8’736.0700
09.07.2020,8’691.6900
08.07.2020,8’859.1300
07.07.2020,8’725.0200
06.07.2020,8’808.3400
05.07.2020,8’591.1000
04.07.2020,8’640.5300
03.07.2020,8’585.6500
02.07.2020,8’608.4000
01.07.2020,8’740.1900
30.06.2020,8’663.5900
29.06.2020,8’739.3800
28.06.2020,8’656.5400
27.06.2020,8’550.0300
26.06.2020,8’684.7000
25.06.2020,8’771.3900
24.06.2020,8’811.6300
23.06.2020,9’088.5200
22.06.2020,9’179.9000
21.06.2020,8’845.9100
20.06.2020,8’912.8300
19.06.2020,8’855.3000
18.06.2020,8’935.1300
17.06.2020,8’971.2500
16.06.2020,9’061.0800
15.06.2020,8’946.0400
14.06.2020,8’898.6000
13.06.2020,9’021.4300
12.06.2020,9’017.3000
11.06.2020,8’779.2100
10.06.2020,9’332.4500
09.06.2020,9’300.4800
08.06.2020,9’364.5700
07.06.2020,9’376.6600
06.06.2020,9’315.7900
05.06.2020,9’274.3100
04.06.2020,9’359.5900
03.06.2020,9’292.2300
02.06.2020,9’160.4800
01.06.2020,9’795.8900
31.05.2020,9’089.9500
30.05.2020,9’316.1200
29.05.2020,9’064.3400
28.05.2020,9’223.7800
27.05.2020,8’899.0400
26.05.2020,8’549.9500
25.05.2020,8’646.4500
24.05.2020,8’505.3800
23.05.2020,8’923.9600
22.05.2020,8’908.7900
21.05.2020,8’798.1600
20.05.2020,9’193.5300
19.05.2020,9’508.6400
18.05.2020,9’440.8600
17.05.2020,9’392.4100
